,word1_id,word2_id,count
0,32355,17056,12
1,32355,12624,10
2,32355,32816,10
3,32355,24612,8
4,32355,35393,6
5,32355,19576,6
6,32355,3673,4
7,32355,39757,4
8,32355,18112,4
9,32355,28111,4
10,11497,12118,38
11,11497,30799,8
12,11497,46619,6
13,11497,20900,4
14,11497,6147,4
15,11497,3430,4
16,11497,32355,2
17,11497,31060,2
18,11497,2536,2
19,11497,24732,2
20,42066,29054,714
21,42066,33502,266
22,42066,17921,264
23,42066,7425,254
24,42066,39907,224
25,42066,25665,216
26,42066,16037,206
27,42066,33472,200
28,42066,46086,184
29,42066,10857,160
30,31060,32355,2
31,31449,29054,108
32,31449,7849,58
33,31449,17921,54
34,31449,46619,42
35,31449,12535,34
36,31449,15719,28
37,31449,30709,28
38,31449,39190,28
39,31449,44184,28
40,31449,15861,26
41,1269,15028,382
42,1269,17921,316
43,1269,25665,150
44,1269,33351,148
45,1269,29054,140
46,1269,46619,98
47,1269,16037,96
48,1269,36325,74
49,1269,16675,68
50,1269,10126,66
51,46718,23331,2
52,24877,29054,1666
53,24877,33502,946
54,24877,46619,900
55,24877,46086,836
56,24877,16037,794
57,24877,17921,674
58,24877,7425,536
59,24877,17928,484
60,24877,39907,482
61,24877,37341,468
62,11425,29054,142
63,11425,16037,66
64,11425,21228,50
65,11425,17921,38
66,11425,20792,36
67,11425,37341,34
68,11425,44184,34
69,11425,7425,32
70,11425,46619,32
71,11425,38321,32
72,23331,5688,6
73,23331,27179,6
74,23331,22783,4
75,23331,46589,4
76,23331,24816,4
77,23331,47784,4
78,23331,29054,4
79,23331,17496,4
80,23331,33351,4
81,23331,2104,4
82,34966,10073,88
83,34966,29054,60
84,34966,28310,48
85,34966,29296,22
86,34966,28867,18
87,34966,26221,18
88,34966,2456,16
89,34966,31158,14
90,34966,22238,14
91,34966,19936,14
92,19415,32277,16
93,19415,41911,16
94,19415,39832,6
95,19415,42145,4
96,19415,28197,4
97,19415,33351,4
98,19415,29054,4
99,19415,20775,4
100,19415,18625,4
101,19415,8,4
102,44449,29054,178
103,44449,33351,124
104,44449,16037,108
105,44449,41892,64
106,44449,35092,60
107,44449,33502,52
108,44449,22005,46
109,44449,17928,42
110,44449,20775,42
111,44449,43448,42
112,16585,19415,2
113,16585,33370,2
114,16585,30490,2
115,16585,16675,2
116,16585,27447,2
117,16585,5610,2
118,16585,1478,2
119,16585,3313,2
120,16585,2216,2
121,16585,22444,2
122,22484,39589,6
123,22484,6827,4
124,22484,34396,4
125,22484,15788,4
126,22484,2216,4
127,22484,19415,2
128,22484,16585,2
129,22484,45486,2
130,22484,22518,2
131,22484,41258,2
132,39805,29054,3198
133,39805,33502,1364
134,39805,16037,1270
135,39805,17921,1108
136,39805,46619,1024
137,39805,39907,956
138,39805,17928,898
139,39805,7425,858
140,39805,17056,838
141,39805,7395,760
142,32067,19415,2
143,32067,16585,2
144,4734,6860,6
145,4734,41539,6
146,4734,19415,2
147,4734,16585,2
148,4734,36236,2
149,4734,47690,2
150,4734,29054,2
151,4734,3777,2
152,4734,12917,2
153,4734,10365,2
154,22983,17622,4
155,22983,19415,2
156,22983,16585,2
157,22983,18369,2
158,22983,39907,2
159,22983,18705,2
160,22983,28354,2
161,22983,21721,2
162,22983,44779,2
163,22983,17942,2
164,31912,30709,46
165,31912,29054,38
166,31912,35393,26
167,31912,29603,24
168,31912,46619,24
169,31912,17921,22
170,31912,14696,22
171,31912,46668,20
172,31912,7425,18
173,31912,16675,18
174,47153,29054,38
175,47153,28229,38
176,47153,46619,32
177,47153,17928,26
178,47153,5092,26
179,47153,1074,24
180,47153,40910,22
181,47153,14250,22
182,47153,20775,20
183,47153,40468,16
184,17325,14736,4
185,17325,35256,2
186,17325,7627,2
187,17325,36564,2
188,17325,11153,2
189,17325,34327,2
190,17325,8777,2
191,17325,27186,2
192,17325,19773,2
193,17325,31434,2
194,26635,17325,2
195,2368,46086,256
196,2368,29054,158
197,2368,7425,96
198,2368,14696,62
199,2368,16037,50
200,2368,23082,50
201,2368,16912,48
202,2368,33502,44
203,2368,17921,42
204,2368,7395,42
205,18626,29054,64
206,18626,46086,38
207,18626,41892,32
208,18626,47236,18
209,18626,14544,16
210,18626,6757,16
211,18626,24362,16
212,18626,33644,14
213,18626,24134,14
214,18626,16037,12
215,32129,28197,12
216,32129,5921,6
217,32129,15172,6
218,32129,34293,6
219,32129,42175,6
220,32129,31436,4
221,32129,41984,4
222,32129,14378,4
223,32129,15518,4
224,32129,30103,4
225,3709,45248,4
226,3709,20069,4
227,3709,28835,2
228,3709,28197,2
229,3709,11643,2
230,3709,17928,2
231,3709,16020,2
232,3709,35398,2
233,3709,13962,2
234,3709,42175,2
235,28835,3709,2
236,28835,28197,2
237,38865,28197,4
238,38865,15533,4
239,38865,5962,4
240,38865,33802,4
241,38865,38015,4
242,38865,42175,4
243,38865,4113,4
244,38865,2438,4
245,38865,35640,4
246,38865,9097,4
247,9898,38321,62
248,9898,29054,36
249,9898,15028,34
250,9898,30964,28
251,9898,45302,18
252,9898,17928,18
253,9898,46619,16
254,9898,29999,16
255,9898,7562,14
256,9898,25431,14
257,18075,3709,2
258,18075,28835,2
259,18075,28197,2
260,28197,17928,20
261,28197,35698,20
262,28197,23471,20
263,28197,38494,18
264,28197,37340,16
265,28197,1478,14
266,28197,45328,14
267,28197,32505,12
268,28197,25983,8
269,28197,42175,8
270,36498,3709,2
271,36498,28835,2
272,36498,28197,2
273,36498,33644,2
274,34254,29054,448
275,34254,46619,270
276,34254,7425,234
277,34254,40450,230
278,34254,33351,202
279,34254,33502,144
280,34254,20775,138
281,34254,17928,132
282,34254,10229,120
283,34254,17056,118
284,36267,9917,4
285,36267,21895,4
286,36267,43845,4
287,36267,10854,4
288,36267,3709,2
289,36267,28835,2
290,36267,28197,2
291,36267,1199,2
292,36267,46668,2
293,36267,32338,2
294,26951,45090,2
295,26951,40384,2
296,26951,43550,2
297,26951,39312,2
298,45090,15089,4
299,45090,40384,2
300,45090,43550,2
301,45090,39312,2
302,45090,1080,2
303,45090,25791,2
304,45090,24423,2
305,45090,39760,2
306,45090,28483,2
307,45090,44118,2
308,40384,11153,34
309,40384,7425,22
310,40384,29054,18
311,40384,46909,16
312,40384,17921,14
313,40384,34159,12
314,40384,5957,12
315,40384,16137,12
316,40384,2142,10
317,40384,42549,10
318,43550,29054,62
319,43550,36325,26
320,43550,28160,24
321,43550,16912,22
322,43550,24390,20
323,43550,17056,18
324,43550,45130,16
325,43550,3708,12
326,43550,46619,12
327,43550,2443,12
328,23384,43550,228
329,23384,29054,144
330,23384,715,124
331,23384,25068,74
332,23384,28876,72
333,23384,9264,72
334,23384,7425,56
335,23384,46619,38
336,23384,44184,38
337,23384,37847,32
338,38065,45090,2
339,38065,40384,2
340,38065,43550,2
341,38065,39312,2
342,38065,30621,2
343,38065,27159,2
344,19436,39907,20
345,19436,23818,16
346,19436,46619,12
347,19436,11533,12
348,19436,14464,10
349,19436,16647,6
350,19436,1518,6
351,19436,4282,4
352,19436,30709,4
353,19436,5913,4
354,42727,14110,16
355,42727,29054,10
356,42727,26853,8
357,42727,19699,6
358,42727,43550,4
359,42727,41752,4
360,42727,39907,4
361,42727,24998,4
362,42727,45090,2
363,42727,40384,2
364,39312,45090,2
365,39312,40384,2
366,39312,43550,2
367,39312,35816,2
368,39312,11308,2
369,8472,33351,26
370,8472,29054,16
371,8472,42692,14
372,8472,44184,12
373,8472,20775,12
374,8472,34826,12
375,8472,16037,12
376,8472,19359,10
377,8472,7425,10
378,8472,34394,8
379,32151,1478,66
380,32151,44503,38
381,32151,31657,34
382,32151,1518,32
383,32151,46619,28
384,32151,34222,26
385,32151,29054,18
386,32151,40326,16
387,32151,23892,14
388,32151,20225,12
389,37810,9926,4
390,37810,15242,4
391,37810,26699,4
392,37810,45090,2
393,37810,40384,2
394,37810,43550,2
395,37810,39312,2
396,37810,25805,2
397,37810,19774,2
398,37810,9585,2
399,27774,2537,2
400,27774,29054,2
401,2537,37341,24
402,2537,47225,12
403,2537,20725,6
404,2537,40468,6
405,2537,6276,4
406,2537,29899,4
407,2537,43099,4
408,2537,26544,4
409,2537,35816,4
410,2537,46086,4
411,9676,33502,266
412,9676,25866,112
413,9676,12501,98
414,9676,38875,74
415,9676,25665,70
416,9676,38321,58
417,9676,10857,58
418,9676,29054,52
419,9676,17921,52
420,9676,33472,52
421,8504,2537,2
422,8504,29054,2
423,14872,2537,2
424,14872,29054,2
425,13684,39337,320
426,13684,2537,2
427,13684,29054,2
428,13684,33073,2
429,13684,2976,2
430,13684,27584,2
431,13684,2317,2
432,13684,40910,2
433,13684,33502,2
434,13684,43334,2
435,1883,9982,18
436,1883,33269,10
437,1883,20066,6
438,1883,47160,6
439,1883,13690,6
440,1883,29054,4
441,1883,1478,4
442,1883,12762,4
443,1883,43253,4
444,1883,8055,4
445,1518,29054,358
446,1518,33073,192
447,1518,46619,130
448,1518,7425,120
449,1518,14250,108
450,1518,40450,96
451,1518,21995,96
452,1518,33351,90
453,1518,16037,86
454,1518,3430,84
455,32887,17968,4
456,32887,2807,4
457,32887,41647,4
458,32887,2537,2
459,32887,29054,2
460,32887,16367,2
461,32887,43867,2
462,32887,22150,2
463,32887,39072,2
464,32887,6238,2
465,29054,28310,160
466,29054,46619,104
467,29054,16037,64
468,29054,3430,64
469,29054,43550,60
470,29054,17921,56
471,29054,7425,54
472,29054,31158,52
473,29054,11533,48
474,29054,40450,48
475,10664,46619,4
476,10664,21345,4
477,10664,37341,4
478,10664,7562,4
479,10664,2537,2
480,10664,29054,2
481,10664,40555,2
482,10664,40610,2
483,10664,27479,2
484,10664,30771,2
485,18717,9982,6
486,18717,44504,4
487,18717,12206,4
488,18717,13643,4
489,18717,2537,2
490,18717,29054,2
491,18717,29574,2
492,18717,14673,2
493,18717,3367,2
494,18717,44184,2
495,37524,17940,8
496,37524,18719,8
497,37524,29054,6
498,37524,36316,4
499,37524,31567,4
500,37524,46571,4
501,37524,2537,2
502,37524,22669,2
503,37524,4521,2
504,37524,5397,2
505,5136,40989,6
506,5136,5322,6
507,5136,29612,6
508,5136,30115,6
509,5136,10883,4
510,5136,17267,4
511,5136,5957,4
512,5136,10564,4
513,5136,4006,2
514,5136,39864,2
515,39286,39907,110
516,39286,29054,54
517,39286,16037,46
518,39286,10883,44
519,39286,46619,38
520,39286,11533,38
521,39286,36652,32
522,39286,31597,32
523,39286,10339,28
524,39286,3430,26
525,10883,29054,16
526,10883,17056,16
527,10883,46619,10
528,10883,10229,8
529,10883,12123,8
530,10883,5092,6
531,10883,37341,6
532,10883,4174,6
533,10883,40925,6
534,10883,27860,6
535,30037,41713,54
536,30037,26129,50
537,30037,16154,32
538,30037,29054,28
539,30037,45062,20
540,30037,11153,20
541,30037,41679,20
542,30037,32753,16
543,30037,33351,14
544,30037,24816,14
545,14546,7425,48
546,14546,17363,42
547,14546,29999,36
548,14546,5147,36
549,14546,9059,36
550,14546,16002,36
551,14546,29054,32
552,14546,46619,32
553,14546,3493,28
554,14546,21915,28
555,17267,45062,14
556,17267,36937,8
557,17267,32926,6
558,17267,7395,4
559,17267,39907,4
560,17267,3982,4
561,17267,29054,4
562,17267,10883,2
563,17267,5957,2
564,17267,28105,2
565,14934,3430,82
566,14934,29054,60
567,14934,2790,52
568,14934,3900,52
569,14934,46619,42
570,14934,12118,38
571,14934,16163,30
572,14934,10229,20
573,14934,17267,18
574,14934,1141,18
575,17638,10229,18
576,17638,31451,18
577,17638,29577,6
578,17638,22696,4
579,17638,10883,2
580,17638,17267,2
581,17638,5957,2
582,17638,14207,2
583,17638,19795,2
584,17638,2537,2
585,22500,9885,40
586,22500,25227,8
587,22500,7849,8
588,22500,12667,4
589,22500,10883,2
590,22500,17267,2
591,22500,5957,2
592,22500,42915,2
593,22500,13352,2
594,22500,22592,2
595,34259,40384,164
596,34259,29054,110
597,34259,33502,48
598,34259,29121,38
599,34259,17119,36
600,34259,7425,34
601,34259,16037,32
602,34259,28367,32
603,34259,4279,30
604,34259,36325,30
605,17659,29054,36
606,17659,7849,22
607,17659,17539,18
608,17659,37341,18
609,17659,25665,14
610,17659,46086,12
611,17659,12758,10
612,17659,10857,10
613,17659,34802,10
614,17659,18871,10
615,1186,20775,10
616,1186,10883,8
617,1186,17928,8
618,1186,39907,8
619,1186,23629,8
620,1186,12029,8
